STATISTIC,STATISTIC Label,TLIST(A1),Year,C02199V02655,Sex,C01888V02321,County and City,C01940V02373,Form of Ceremony,UNIT,VALUE
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,-,State,-,All ceremonies,Number,606
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,-,State,7,Other religious denominations,Number,20
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,-,State,8,Civil marriages,Number,490
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,-,State,9,The Humanist Association,Number,60
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,-,State,10,The Spiritualist Union of Ireland,Number,36
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,0,Dublin City,-,All ceremonies,Number,306
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,0,Dublin City,7,Other religious denominations,Number,5
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,0,Dublin City,8,Civil marriages,Number,278
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,0,Dublin City,9,The Humanist Association,Number,19
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,0,Dublin City,10,The Spiritualist Union of Ireland,Number,4
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,2,Fingal,-,All ceremonies,Number,8
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,2,Fingal,7,Other religious denominations,Number,0
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,2,Fingal,8,Civil marriages,Number,4
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,2,Fingal,9,The Humanist Association,Number,1
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,2,Fingal,10,The Spiritualist Union of Ireland,Number,3
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,3,Dun Laoghaire Rathdown,-,All ceremonies,Number,8
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,3,Dun Laoghaire Rathdown,7,Other religious denominations,Number,1
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,3,Dun Laoghaire Rathdown,8,Civil marriages,Number,3
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,3,Dun Laoghaire Rathdown,9,The Humanist Association,Number,3
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,3,Dun Laoghaire Rathdown,10,The Spiritualist Union of Ireland,Number,1
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,4,South Dublin,-,All ceremonies,Number,2
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,4,South Dublin,7,Other religious denominations,Number,0
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,4,South Dublin,8,Civil marriages,Number,0
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,4,South Dublin,9,The Humanist Association,Number,0
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,4,South Dublin,10,The Spiritualist Union of Ireland,Number,2
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,1,Leinster,-,All ceremonies,Number,460
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,1,Leinster,7,Other religious denominations,Number,13
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,1,Leinster,8,Civil marriages,Number,375
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,1,Leinster,9,The Humanist Association,Number,44
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,1,Leinster,10,The Spiritualist Union of Ireland,Number,28
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,1-,Wicklow,-,All ceremonies,Number,39
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,1-,Wicklow,7,Other religious denominations,Number,1
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,1-,Wicklow,8,Civil marriages,Number,28
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,1-,Wicklow,9,The Humanist Association,Number,4
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,1-,Wicklow,10,The Spiritualist Union of Ireland,Number,6
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,10,Carlow,-,All ceremonies,Number,6
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,10,Carlow,7,Other religious denominations,Number,0
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,10,Carlow,8,Civil marriages,Number,4
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,10,Carlow,9,The Humanist Association,Number,0
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,10,Carlow,10,The Spiritualist Union of Ireland,Number,2
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,11,Kildare,-,All ceremonies,Number,23
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,11,Kildare,7,Other religious denominations,Number,3
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,11,Kildare,8,Civil marriages,Number,10
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,11,Kildare,9,The Humanist Association,Number,8
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,11,Kildare,10,The Spiritualist Union of Ireland,Number,2
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,12,Kilkenny,-,All ceremonies,Number,10
VSB10,Same Sex Marriages Celebrated,2016,2016,1,Male,12,Kilkenny,7,Other religious denominations,Number,0
